config,win_w,win_h,mode,tab,kind,source,label,x,y,w,h,visible
1500x800|2D|tab0,1500,800,2D,0,rect,"PaperPolyhedra.drawA4Paper","",539.06,82.37,841.88,595.27,true
1500x800|2D|tab0,1500,800,2D,0,rect,"PaperPolyhedra.drawShapeInfoNote","",553.23,655.46,6.00,6.00,true
1500x800|2D|tab0,1500,800,2D,0,text,"PaperPolyhedra.drawShapeInfoNote","Shape 1:  4 sides;  H=60;0mm;  Top=30;0mm;  Bot=30;0mm;  Hyp=60;0mm",562.23,652.46,248.00,11.00,true
1500x800|2D|tab0,1500,800,2D,0,rect,"Toolbar.draw","",0.00,0.00,1500.00,50.00,true
1500x800|2D|tab0,1500,800,2D,0,rect,"ToolbarButton.draw","",8.00,8.00,90.00,34.00,true
1500x800|2D|tab0,1500,800,2D,0,text,"ToolbarButton.draw","Workshop",25.00,18.00,56.00,14.00,true
1500x800|2D|tab0,1500,800,2D,0,rect,"ToolbarButton.draw","",110.00,8.00,90.00,34.00,true
1500x800|2D|tab0,1500,800,2D,0,text,"ToolbarButton.draw","Assembly",128.00,18.00,54.00,14.00,true
1500x800|2D|tab0,1500,800,2D,0,rect,"ToolbarButton.draw","",1397.00,8.00,95.00,34.00,true
1500x800|2D|tab0,1500,800,2D,0,text,"ToolbarButton.draw","ⓘ Info",1428.50,18.00,32.00,14.00,true
1500x800|2D|tab0,1500,800,2D,0,text,"Toolbar.drawStatusText","4-sided Prism",1420.00,18.50,65.00,13.00,true
1500x800|2D|tab0,1500,800,2D,0,rect,"SidebarPanel.draw","",0.00,50.00,420.00,750.00,true
1500x800|2D|tab0,1500,800,2D,0,rect,"SidebarButton.draw","",12.00,62.00,124.00,36.00,true
1500x800|2D|tab0,1500,800,2D,0,text,"SidebarButton.draw","Shape",58.00,72.00,32.00,16.00,true
1500x800|2D|tab0,1500,800,2D,0,rect,"SidebarButton.draw","",142.00,62.00,124.00,36.00,true
1500x800|2D|tab0,1500,800,2D,0,text,"SidebarButton.draw","Texture",185.00,72.00,38.00,16.00,true
1500x800|2D|tab0,1500,800,2D,0,rect,"SidebarButton.draw","",272.00,62.00,124.00,36.00,true
1500x800|2D|tab0,1500,800,2D,0,text,"SidebarButton.draw","Print",321.50,72.00,25.00,16.00,true
1500x800|2D|tab0,1500,800,2D,0,text,"SidebarPanel.drawShapeControlContent","SHAPE PARAMETERS",12.00,112.00,130.00,20.00,true
1500x800|2D|tab0,1500,800,2D,0,rect,"SidebarPanel.drawShapeControlContent","",12.00,132.00,42.00,26.00,true
1500x800|2D|tab0,1500,800,2D,0,text,"SidebarPanel.drawShapeControlContent","+",30.00,136.50,6.00,17.00,true
1500x800|2D|tab0,1500,800,2D,0,rect,"SidebarPanel.drawShapeControlContent","",58.00,132.00,42.00,26.00,true
1500x800|2D|tab0,1500,800,2D,0,text,"SidebarPanel.drawShapeControlContent","−",76.00,136.50,6.00,17.00,true
1500x800|2D|tab0,1500,800,2D,0,text,"SidebarPanel.drawShapeControlContent","Shape 1 of 1",106.00,137.00,61.00,16.00,true
1500x800|2D|tab0,1500,800,2D,0,rect,"SidebarPanel.drawShapeControlContent","",12.00,164.00,396.00,28.00,true
1500x800|2D|tab0,1500,800,2D,0,text,"SidebarPanel.drawShapeControlContent","Reset to Default (30mm)",155.50,171.00,109.00,14.00,true
1500x800|2D|tab0,1500,800,2D,0,rect,"SidebarPanel.drawShapeControlContent","",12.00,196.00,396.00,28.00,true
1500x800|2D|tab0,1500,800,2D,0,text,"SidebarPanel.drawShapeControlContent","Load JSON",185.00,203.00,50.00,14.00,true
1500x800|2D|tab0,1500,800,2D,0,text,"SidebarPanel.drawTabLengthButtons","TAB LENGTH",12.00,447.00,69.00,17.00,true
1500x800|2D|tab0,1500,800,2D,0,rect,"SidebarPanel.drawTabLengthButtons","",12.00,465.00,128.00,26.00,true
1500x800|2D|tab0,1500,800,2D,0,text,"SidebarPanel.drawTabLengthButtons","5mm",63.00,470.00,26.00,16.00,true
